,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Huntsville,34.73,-86.59,79.0,50,1,5.82,US,1602705313
1,Murray Bridge,-35.12,139.27,75.0,37,100,5.99,AU,1602705321
2,Biskamzha,53.45,89.53,32.04,97,100,4.56,RU,1602705336
3,Rikitea,-23.12,-134.97,73.63,80,27,19.46,PF,1602705297
4,Lompoc,34.64,-120.46,96.8,18,1,14.99,US,1602705337
5,Ushuaia,-54.8,-68.3,48.2,57,40,12.75,AR,1602705337
6,Butaritari,3.07,172.79,81.9,76,100,11.54,KI,1602705337
7,Pangody,65.85,74.49,31.57,93,0,14.79,RU,1602705337
8,Hamilton,39.18,-84.53,75.99,36,1,10.29,US,1602704703
9,Mataura,-46.19,168.86,39.0,93,0,1.99,NZ,1602705295
10,Omboué,-1.57,9.26,75.78,80,98,8.97,GA,1602705338
11,Leningradskiy,69.38,178.42,30.61,93,100,9.62,RU,1602705339
12,Kavaratti,10.57,72.64,81.95,77,98,21.07,IN,1602705339
13,Tuktoyaktuk,69.45,-133.04,26.6,79,75,24.16,CA,1602705339
14,Kapaa,22.08,-159.32,81.0,74,1,3.38,US,1602705340
15,Lebu,-37.62,-73.65,55.2,66,0,16.11,CL,1602705333
16,Rio Grande,-32.03,-52.1,62.96,81,22,8.93,BR,1602705340
17,Vaini,-21.2,-175.2,73.4,73,90,9.17,TO,1602705341
18,Salé,34.04,-6.82,66.99,63,75,5.82,MA,1602705207
19,Resistencia,-27.46,-58.98,68.0,82,75,16.11,AR,1602705341
20,Tura,25.52,90.22,73.35,94,68,2.42,IN,1602705342
21,Tiksi,71.69,128.87,10.67,92,0,2.46,RU,1602705302
22,East London,-33.02,27.91,62.64,71,15,16.67,ZA,1602705342
23,Khandyga,62.67,135.6,20.7,95,90,2.89,RU,1602705343
24,Saskylakh,71.92,114.08,15.6,95,100,15.95,RU,1602705267
25,George Town,5.41,100.34,82.4,78,20,2.24,MY,1602705343
26,Provideniya,64.38,-173.3,32.0,92,90,8.95,RU,1602705344
27,Port Blair,11.67,92.75,80.53,81,99,13.49,IN,1602705344
28,Alamosa,37.47,-105.87,73.4,9,1,6.93,US,1602705344
29,Henties Bay,-22.12,14.28,59.0,89,0,3.0,NA,1602705344
30,Bandarbeyla,9.49,50.81,79.45,85,98,13.65,SO,1602705344
31,Saint-Augustin,51.23,-58.65,46.06,77,100,9.93,CA,1602705345
32,Punta Arenas,-53.15,-70.92,51.8,50,75,25.28,CL,1602705269
33,Monrovia,6.3,-10.8,78.8,88,20,7.54,LR,1602705345
34,San Patricio,28.02,-97.52,91.0,52,40,8.05,US,1602705280
35,Gijang,35.24,129.21,53.6,71,0,4.7,KR,1602705346
36,Hilo,19.73,-155.09,82.4,54,1,6.78,US,1602705262
37,Dingle,11.0,122.67,74.82,90,100,5.5,PH,1602705346
38,Caravelas,-17.71,-39.25,77.0,76,8,11.34,BR,1602705327
39,Bethel,41.37,-73.41,68.0,42,1,11.41,US,1602705287
40,The Pas,53.83,-101.25,33.8,50,75,19.46,CA,1602705347
41,Jamestown,42.1,-79.24,63.0,36,1,6.93,US,1602705347
42,Rocha,-34.48,-54.33,64.8,71,0,6.4,UY,1602705347
43,Bredasdorp,-34.53,20.04,57.2,87,0,1.12,ZA,1602705348
44,Hermanus,-34.42,19.23,61.0,76,0,5.01,ZA,1602705270
45,Marawi,8.0,124.29,73.0,95,100,3.0,PH,1602705348
46,Port Elizabeth,-33.92,25.57,60.8,87,0,12.75,ZA,1602705349
47,Qaanaaq,77.48,-69.36,30.56,85,45,6.87,GL,1602705308
48,Tazovsky,67.47,78.7,31.39,93,70,20.83,RU,1602705351
49,Muleba,-1.84,31.65,66.2,93,75,3.36,TZ,1602705351
50,Dikson,73.51,80.55,29.1,93,100,23.04,RU,1602705272
51,Yellowknife,62.46,-114.35,26.01,68,90,23.04,CA,1602705268
52,Byron Bay,-28.65,153.62,55.0,87,8,9.46,AU,1602705352
53,Hof,50.32,11.92,42.01,98,100,11.01,DE,1602705352
54,Tautira,-17.73,-149.15,78.8,74,75,10.29,PF,1602705353
55,Bonavista,48.65,-53.11,52.0,79,42,7.0,CA,1602705353
56,Ribeira Grande,38.52,-28.7,69.8,83,20,5.82,PT,1602705353
57,Bluff,-46.6,168.33,39.0,93,0,1.99,NZ,1602705354
58,Stilfontein,-26.84,26.77,71.85,29,0,7.61,ZA,1602705354
59,Cape Town,-33.93,18.42,60.01,87,0,5.82,ZA,1602705354
60,Baiquan,47.58,126.08,29.44,86,2,6.49,CN,1602705354
61,Havøysund,71.0,24.66,39.2,80,75,17.22,NO,1602705355
62,Upernavik,72.79,-56.15,33.42,86,15,5.75,GL,1602705298
63,Bentiu,9.23,29.83,75.13,79,5,2.28,SS,1602705355
64,Airai,-8.93,125.41,61.0,65,88,2.24,TL,1602705301
65,Nālūt,30.33,10.85,61.56,30,0,4.65,LY,1602705356
66,Onega,63.91,38.14,38.23,85,100,7.78,RU,1602705357
67,Albert Lea,43.65,-93.37,62.6,51,1,12.75,US,1602705207
68,Esperance,-33.87,121.9,57.2,100,90,10.29,AU,1602705318
69,Kalamare,-22.93,26.57,68.99,56,0,17.74,BW,1602705359
70,Bayburt,40.26,40.23,51.87,50,0,1.39,TR,1602705359
71,Erenhot,43.65,111.98,39.15,65,0,7.9,CN,1602705360
